id,country,my19,gdppc,mypct
360,Indonesia,270.626,4.136,1.1
364,Iran,82.914,7.282,1.36
368,Iraq,39.31,5.73,2.28
372,Ireland,4.882,81.645,1.32
376,Israel,8.519,46.378,1.64
380,Italy,60.55,33.09,-0.13
384,Ivory Coast,25.717,2.276,2.58
388,Jamaica,2.948,5.37,0.46
392,Japan,126.86,40.064,-0.27
400,Jordan,10.102,4.405,1.37
398,Kazakhstan,18.551,9.793,1.27
404,Kenya,52.574,1.817,2.3
296,Kiribati,0.118,1.644,1.52
414,Kuwait,4.207,32,1.69
417,Kyrgyzstan,6.416,1.318,1.77
418,Laos,7.169,2.625,1.53
428,Latvia,1.907,17.883,-1.13
422,Lebanon,6.856,8.228,-0.05
426,Lesotho,2.125,1.158,0.8
430,Liberia,4.937,0.523,2.46
434,Libya,6.777,4.81,1.48
438,Liechtenstein,0.038,178.868,0.29
440,Lithuania,2.76,19.792,-1.49
442,Luxembourg,0.616,115.429,1.9
446,Macau (China)[u],0.64,84.155,1.39
450,Madagascar,26.969,0.523,2.69
454,Malawi,18.629,0.435,2.68
458,Malaysia[f],31.95,11.414,1.34
462,Maldives,0.531,10.625,2.96
466,Mali,19.658,0.887,3.04
470,Malta,0.44,33.78,0.26
584,Marshall Islands,0.059,4.017,0.65
478,Mauritania,4.526,1.678,2.78
480,Mauritius[s],1.199,11.827,0.78
484,Mexico,127.576,9.849,1.1
498,Moldova[q],4.043,2.957,-0.21
492,Monaco,0.039,190.333,0.73
496,Mongolia,3.225,4.295,1.73
499,Montenegro,0.628,8.825,0.03
500,Montserrat (United Kingdom),0.005,13.4,-0.08
504,Morocco,36.472,3.282,1.23
508,Mozambique,30.366,0.504,2.95
104,Myanmar,54.045,1.421,0.63
516,Namibia,2.495,4.956,1.89
520,Nauru,0.011,12,0.81
524,Nepal,28.609,1.074,1.83
528,Netherlands[i],17.097,53.053,0.22
540,New Caledonia (France),0.283,34.908,0.98
554,New Zealand,4.783,43.265,0.84
558,Nicaragua,6.546,1.913,1.24
562,Niger,23.311,0.555,3.87
566,Nigeria,200.964,2.361,2.6
408,North Korea,25.666,0.636,0.46
807,North Macedonia,2.083,6.094,0.02
578,Norway[o],5.379,74.983,0.77
512,Oman,4.975,15.343,3.01
586,Pakistan,216.565,1.187,2.04
585,Palau,0.018,15.556,0.56
275,Palestine[p],4.981,3.425,2.44
591,Panama,4.246,15.729,1.67
598,Papua New Guinea,8.776,2.845,1.97
600,Paraguay,7.045,5.406,1.27
604,Peru,32.51,6.978,1.63
608,Philippines,108.117,3.324,1.37
616,Poland,37.888,15.727,-0.09
620,Portugal[j],10.226,23.351,-0.29
630,Puerto Rico (United States),2.933,35.795,-3.49
634,Qatar,2.832,64.783,1.81
642,Romania,19.365,12.914,-0.73
643,Russia,145.872,11.606,0.09
646,Rwanda,12.627,0.82,2.64
678,São Tomé and Príncipe,0.215,1.958,1.91
659,Saint Kitts and Nevis,0.053,19.811,0.73
662,Saint Lucia,0.183,11.596,0.5
666,Saint Pierre and Miquelon (France),0.006,137.5,-0.46
674,San Marino,0.034,47.118,0.22
682,Saudi Arabia,34.269,23.139,1.68
686,Senegal,16.296,1.452,2.79
688,Serbia[l],8.772,6.775,-0.35
690,Seychelles,0.098,17.327,0.66
694,Sierra Leone,7.813,0.527,2.13
702,Singapore,5.804,64.106,0.81
534,Sint Maarten (Netherlands),0.042,24.024,1.07
703,Slovakia,5.457,19.256,0.07
705,Slovenia,2.079,26.058,0.04
90,Solomon Islands,0.67,1.943,2.6
706,Somalia,15.443,0.105,2.9
710,South Africa,58.558,6.001,1.33
410,South Korea,51.225,32.143,0.1
728,South Sudan,11.062,0.448,0.79
724,Spain[d],46.737,29.816,0.09
144,Sri Lanka,21.324,3.94,0.45
729,Sudan,42.813,0.815,2.42
740,Suriname,0.581,6.363,0.93
752,Sweden,10.036,52.898,0.65
756,Switzerland,8.591,85.139,0.77
760,Syria,17.07,1.194,0.74
762,Tajikistan,9.321,0.894,2.42
834,Tanzania[c],58.005,1.085,3
764,Thailand,69.038,7.851,0.25
768,Togo,8.082,0.9,2.45
776,Tonga,0.111,4.577,0.32
780,Trinidad and Tobago,1.395,16.637,0.37
788,Tunisia,11.695,3.317,1.12
792,Turkey,83.43,9.127,1.32
795,Turkmenistan,5.942,8.125,1.56
796,Turks and Caicos Islands (United Kingdom),0.038,31.5,1.4
798,Tuvalu,0.012,3.917,1.2
800,Uganda,44.27,0.737,3.61
804,Ukraine[e],43.994,3.495,-0.57
784,United Arab Emirates,9.771,43.101,1.45
826,United Kingdom,67.53,41.855,0.58
840,United States,329.065,65.134,0.6
858,Uruguay,3.462,16.189,0.36
860,Uzbekistan,32.982,1.756,1.56
548,Vanuatu,0.3,3.02,2.46
862,Venezuela,28.516,4.733,-1.29
704,Vietnam,96.462,2.715,0.96
887,Yemen,29.162,0.855,2.33
894,Zambia,17.861,1.292,2.94
716,Zimbabwe,14.645,1.464,1.43
