length,date,channel,category,brand,item,title,price,rating
11:44,08/03/20,Fast Food,Taco,Del Taco,Crispy Chicken Taco,Will Del Taco's NEW Crispy Chicken Taco be a Game Changer?,1,6
11:40,08/09/20,Fast Food,Fried chicken,Popeyes,Bone-In Hot Honey Chicken,Popeye's NEW Hot Honey Chicken Review!,5,7
13:35,08/15/20,Fast Food,Chicken sandwich,Wendy's,Spicy Crispy Chicken Sandwich,How Good Is Wendy's NEW Spicy Crispy Chicken Sandwich?,1.29,8.5
11:50,08/20/20,Fast Food,Chinese,Panda Express,Honey Sesame Chicken,Will Panda Express Redeem Themselves With Their Honey Sesame Chicken?,7.8,8.6
13:13,08/25/20,Fast Food,Pizza (fresh),Domino's,Chicken Taco Pizza,Domino's NEW Chicken Taco Pizza Review!,11.99,9
13:01,08/29/20,Fast Food,Burrito,Taco Bell,Beef Burrito,Why Doesn't Anyone Care About Taco Bell's NEW Beef Burrito?,1,8
12:59,09/03/20,Fast Food,Quesadilla,Papa John's,Grilled Buffalo Chicken Papdia,Papa John's NEW Grilled Buffalo Chicken Papadia Review!,6,7
11:22,09/08/20,Fast Food,Burger,McDonald's,Travis Scott Meal,Is McDonald's NEW Travis Scott Meal A Hit?,6,8.6
14:45,09/20/20,Fast Food,Chicken nuggets,McDonald's,Spicy Chicken Nuggets,Comparative Analysis of McDonald's NEW Spicy Chicken Nuggets!,3.19,8.8
11:52,09/25/20,Fast Food,Chicken wings,Popeyes,Ghost Pepper Wings,Are Popeyes NEW Ghost Pepper Wings Hot Or Not?,4.99,6.8
16:47,09/29/20,Fast Food,Quesadilla,Taco Bell,Grande Stacker,Taco Bell's NEW Grande Stacker Review!,5,4.1
14:10,10/02/20,Fast Food,Burger,Wendy's,Pretzel Bacon Pub Cheeseburger,Wendy's NEW Pretzel Bacon Pub Cheeseburger Review!,5.5,9
14:36,10/05/20,Fast Food,Burger,McDonald's,J Balvin Meal,What Is McDonald's NEW J Balvin Meal?,6,7.5
12:36,10/11/20,Fast Food,Pizza (fresh),Little Caesars,Slices-N-Stix Pizza,Is Little Caesars Slices-N-Stix Pizza A Good Deal?,6,8.2
9:32,10/18/20,Fast Food,Donut,Dunkin',Ghost Pepper Donut,Is Dunkin's Spicy Ghost Pepper Donut The Hottest In The World?,1,8.5
12:48,10/23/20,Fast Food,Chicken sandwich,Wendy's,Classic Chicken Sandwich,Wendy's NEW Classic Chicken Sandwich Review!,5.4,7
12:19,10/27/20,Fast Food,Quesadilla,Papa John's,Double Cheeseburger Papadia,Papa John's NEW Double Cheeseburger Papadia Review,8,4
9:58,10/31/20,Fast Food,Donut,Krispy Kreme,Halloween Doughnuts,Halloween BLOWOUT! Trying Krispy Kreme's NEW Halloween Doughnuts,7,6.7
12:15,11/06/20,Fast Food,Shrimp,Popeyes,Twisty Wicked Shrimp,Will Popeyes Twisty Wicked Shrimp Be An Immeasurable Disappointment?,5,8.25
10:52,11/10/20,Fast Food,Chalupa,Taco Bell,Toasted Cheddar Chalupa,Taco Bell's NEW Toasted Cheddar Chalupa Review!,2.99,7
12:15,11/16/20,Fast Food,Pizza (fresh),Pizza Hut,Beyond Sausage Pizza,Pizza Hut's NEW Beyond Sausage Pizza Review!,14.99,9
12:48,11/21/20,Fast Food,Turkey sandwich,Arby's,Deep Fried Turkey Sandwich,Is Arby's NEW Deep Fried Turkey Sandwich The Perfect Thanksgiving Meal?,5,5.5
8:40,11/24/20,Fast Food,Pizza (fresh),Little Caesars,Pepperoni Cheeser! Cheeser! Pizza,Little Caesars NEW Cheeser! Cheeser! Pizza Review,7,8
11:25,11/29/20,Fast Food,Chicken wings,Buffalo Wild Wings,Pizza Wings,Is This The FUTURE of Chicken Wings??,10,5.7
12:54,12/04/20,Fast Food,Pork sandwich,McDonald's,McRib,Does McDonald's McRib Still Live Up To The Hype?,3.7,7.5
13:07,12/14/20,Fast Food,Pizza (fresh),Pizza Hut,Triple Treat Box,Is Pizza Hut's NEW Triple Treat Box The Perfect Meal Deal?,20.99,8.5
10:53,12/20/20,Fast Food,Burger,MrBeast Burger,Beast Style Burger,Is MrBeast Burger Taking Over The Nation?,6.99,7
